観光地点等一覧,H25.11.8,,,,,
ID,名称,住所,緯度,経度,電話番号,種別
71,小松島みなと交流センターkocolo（小松島みなとオアシス）,小松島市小松島町字新港19番地,34.010133,134.5913514,,
72,ＪＡよってネ市,勝浦郡勝浦町大字生名字太田45-1,33.93205,134.5225188,,
73,月ヶ谷温泉交流施設（キャンプ場込み）,勝浦郡上勝町福原平間71-1,33.8849959,134.4183106,,
74,いっきゅう茶屋,勝浦郡上勝町福原字下日浦76-12,33.9046762,134.418485,,
75,大川原高原,名東郡佐那河内村大川原,33.9585987,134.4235723,,
76,徳園寺,名東郡佐那河内村下字壁ケ獄,33.9931609,134.4529385,,
77,雨乞の滝,名西郡神山町神領字谷,33.9665298,134.3443086,,
78,焼山寺,名西郡神山町下分字地中318,33.9849692,134.3102179,,
79,神山森林公園,名西郡神山町阿野字大地459-1　,34.0228156,134.4235917,,
80,タカガワ東徳島ゴルフ倶楽部,名西郡神山町阿野字歯ノ辻499,34.0377694,134.4175591,,
81,神山温泉いやしの湯,名西郡神山町神領本上角,33.9739876,134.3701944,,
82,道の駅　温泉の里神山,名西郡神山町神領字西上角,33.9732154,134.3683668,,
83,長楽苑温泉,小松島市中田町字東山7-2,34.0185347,134.5818078,,
84,佐那河内いきものふれあいの里,佐那河内村上字大川原,33.9585987,134.4235723,,
85,道の駅ひなの里かつうら,勝浦町大字生名字月ノ瀬4-1,33.9321361,134.5228966,,
86,小松海水浴場,徳島市,34.0702703,134.5548438,,
87,あるでよ徳島,徳島市新町橋２丁目２０,34.0701283,134.5451086,,
88,立江寺,小松島市立江町若松13,33.9678142,134.6057743,,
89,徳島県立文学書道館,徳島市中前川町２丁目２２−１,34.0800885,134.5540214,,
90,蔵本公園,徳島市庄町1丁目76番地の2,34.0745268,134.5134475,,
91,中央武道館,徳島市徳島町城内６ ,34.0773137,134.5501885,,
92,サンピアゴルフクラブ,徳島市入田町安都真215-1,34.0280983,134.4554248,,
93,田井の浜海水浴場,海部郡美波町田井,33.7715905,134.5872298,,
94,ぽっぽマリン,海部郡美波町由岐,33.776015,134.591829,,
95,"阿南市科学
センター",阿南市那賀川町上福井南川渕８番地１,33.9488469,134.681699,,
96,お松大権現,阿南市加茂町不け６３番地,33.9144646,134.5522126,,
97,スポーツ総合センター,阿南市七見町下川田１００番地１,33.9197426,134.6841937,,
98,阿南西部公園,阿南市中大野町南傍示,33.9269304,134.5882926,,
99,Ｊパワ-&よんでんWaンダーランド,阿南市福井町舟端１番地,33.8510708,134.6395292,,
100,コート・ベール徳島ゴルフクラブ,阿南市那賀川町みどり台１番地１,33.9536435,134.682785,,
101,北の脇海水浴場,阿南市中林町原,33.9033618,134.6876743,,
102,かもだ岬温泉保養センタ-,阿南市椿町船瀬６０番地２,33.8315618,134.7264655,,
103,阿南市那賀川道の駅(とれとれ市),阿南市那賀川町工地803番地,33.9540628,134.6727916,,
104,相生森林美術館,那賀郡那賀町横石大板34,33.7979781,134.4520635,,
105,太龍寺ロープウェイ,那賀郡那賀町田野７６,33.8626906,134.5022577,,
106,相生森林文化公園　あいあいらんど,那賀郡那賀町横石字大板53-19,33.7963867,134.4486168,,
107,道の駅「鷲の里」,那賀郡那賀町和食郷田野62,33.863335,134.5023132,,
108,農産物直売所　あいおい,那賀郡那賀町大久保字西納野,33.7976977,134.4462171,,
109,高の瀬峡レストハウス平の里,那賀郡那賀町木頭北川字たいら48,33.7783225,134.0839263,,
110,もみじ川温泉,那賀郡那賀町大久保字西納野4-7,33.7976977,134.4462171,,
111,四季美谷温泉,那賀郡那賀町横谷夏切3-3,33.8632746,134.2510201,,
112,大島・津島,海部郡牟岐町,33.6684066,134.4205552,,
113,不動山正観寺,海部郡牟岐町中村奥前158-1,33.6716507,134.4080405,,
114,上善の湯　鬼ヶ岩屋温泉,海部郡牟岐町橘140,33.7114449,134.4409454,,
115,うみがめ博物館「カレッタ」,海部郡美波町日和佐浦370-4,33.7354281,134.5411655,,
116,薬王寺,海部郡美波町奥河内字寺前285-1,33.7323478,134.5276112,,
117,ホテルリビエラししくい,海部郡海陽町宍喰浦字松原226-1,33.5686908,134.3066651,,
118,阿南アグリスタジアム（南部総合運動公園内）,阿南市桑野町桑野谷３４番地１,33.8638247,134.6020744,,
119,道の駅日和佐,海部郡美波町奥河内字寺前493-6,33.7302896,134.5302471,,
120,海陽町海洋自然博物館マリンジャム,海部郡海陽町宍喰浦字竹ヶ島28-45,33.5475545,134.3172394,,
121,淡島海水浴場,阿南市畭町亀崎,33.9175569,134.6969453,,
122,道の駅公方の郷なかがわ,阿南市那賀川町工地８０３番地,33.9540628,134.6727916,,
123,ビーバー館,那賀郡那賀町長安,33.8112109,134.3608735,,
124,よいしょきとうむら,那賀郡那賀町木頭出原字ヨコマチ23-2,33.776025,134.2058707,,
125,道の駅「わじき」,那賀郡那賀町中山字関ヶ原34-56,33.8689964,134.5546401,,
126,出羽島,海部郡牟岐町牟岐字出羽島,33.6372992,134.4248131,,
127,内妻海岸,海部郡牟岐町内妻,33.6584439,134.4104679,,
128,モラスコむぎ,海部郡牟岐町灘下浜辺198-1,33.6670395,134.443442,,
129,蛇王運動公園,海部郡海陽町浅川字西福良43,33.6228929,134.3691618,,
130,ふれあいの宿遊遊NASA,海部郡海陽町奥浦字鹿ケ谷58-3,33.5880358,134.3535437,,
131,すぎのこ市場,海部郡海陽町久保,33.5677715,134.303185,,
132,阿南光のまちステーションプラザ,阿南市富岡町今福寺40番地17,33.9185956,134.6622904,,
133,大砂海水浴場,海部郡海陽町浅川,33.6263536,134.3607236,,
134,穴吹川,美馬市,34.0534034,134.1697495,,
135,うだつの町並み,美馬市脇町大字脇町,34.0691182,134.1474466,,
136,四国カントリークラブ,美馬市穴吹町穴吹字岡ノ上２００,34.0393384,134.1819231,,
137,あんみつ館,美馬市脇町大字北庄５５１−２,34.0782782,134.1588117,,
138,四国三郎の郷,美馬市美馬町字境目３９−１０,34.0457888,134.000332,,
139,ブルーヴィラあなぶき,美馬市穴吹町口山字丸山１,34.022696,134.15126,,
140,夏子いなか市,美馬市脇町字西俣名２５８５−１１,34.1353464,134.1579129,,
141,太陽マーケット,美馬市美馬町字道の上４４−３,34.0859346,134.0455152,,
142,美馬産直市ふれあい,美馬市美馬町字鍵掛６２−１,34.0541023,134.0547997,,
